Day-ahead demand forecast for Seattle City Light (SCL) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3389916&sdid=EBA.SCL-ALL.DF.H
22:07:08 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SCL-ALL.DF.H megawatthours
03/4/2021 09H,922
03/4/2021 08H,959
03/4/2021 07H,1031
03/4/2021 06H,1112
03/4/2021 05H,1177
03/4/2021 04H,1215
03/4/2021 03H,1224
03/4/2021 02H,1158
03/4/2021 01H,1087
03/4/2021 00H,1063
03/3/2021 23H,1075
03/3/2021 22H,1114
03/3/2021 21H,1151
03/3/2021 20H,1181
03/3/2021 19H,1212
03/3/2021 18H,1256
03/3/2021 17H,1295
03/3/2021 16H,1299
03/3/2021 15H,1215
03/3/2021 14H,1069
03/3/2021 13H,966
03/3/2021 12H,924
03/3/2021 11H,913
03/3/2021 10H,915
03/3/2021 09H,942
03/3/2021 08H,999
03/3/2021 07H,1077
03/3/2021 06H,1171
03/3/2021 05H,1241
03/3/2021 04H,1287
03/3/2021 03H,1308
03/3/2021 02H,1249
03/3/2021 01H,1196
03/3/2021 00H,1188
03/2/2021 23H,1171
03/2/2021 22H,1213
03/2/2021 21H,1240
03/2/2021 20H,1252
03/2/2021 19H,1255
03/2/2021 18H,1270
03/2/2021 17H,1294
03/2/2021 16H,1296
03/2/2021 15H,1191
03/2/2021 14H,1031
03/2/2021 13H,924
03/2/2021 12H,878
03/2/2021 11H,867
03/2/2021 10H,870
03/2/2021 09H,889
03/2/2021 08H,998
03/2/2021 07H,1077
03/2/2021 06H,1173
03/2/2021 05H,1248
03/2/2021 04H,1289
03/2/2021 03H,1311
03/2/2021 02H,1242
03/2/2021 01H,1175
03/2/2021 00H,1152
03/1/2021 23H,1150
03/1/2021 22H,1202
03/1/2021 21H,1235
03/1/2021 20H,1257
03/1/2021 19H,1281
03/1/2021 18H,1310
03/1/2021 17H,1340
03/1/2021 16H,1331
03/1/2021 15H,1235
03/1/2021 14H,1080
03/1/2021 13H,970
03/1/2021 12H,916
03/1/2021 11H,899
03/1/2021 10H,897
03/1/2021 09H,922
03/1/2021 08H,1010
03/1/2021 07H,1082
03/1/2021 06H,1159
03/1/2021 05H,1219
03/1/2021 04H,1263
03/1/2021 03H,1281
03/1/2021 02H,1205
03/1/2021 01H,1149
03/1/2021 00H,1127
02/28/2021 23H,1121
02/28/2021 22H,1151
02/28/2021 21H,1180
02/28/2021 20H,1180
02/28/2021 19H,1175
02/28/2021 18H,1155
02/28/2021 17H,1106
02/28/2021 16H,1036
02/28/2021 15H,995
02/28/2021 14H,967
02/28/2021 13H,947
02/28/2021 12H,938
02/28/2021 11H,943
02/28/2021 10H,951
02/28/2021 09H,990
02/28/2021 08H,1026
02/28/2021 07H,1086
02/28/2021 06H,1150
02/28/2021 05H,1206
02/28/2021 04H,1246
02/28/2021 03H,1259
02/28/2021 02H,1184
02/28/2021 01H,1118
02/28/2021 00H,1086
02/27/2021 23H,1107
02/27/2021 22H,1135
02/27/2021 21H,1170
02/27/2021 20H,1194
02/27/2021 19H,1207
02/27/2021 18H,1207
02/27/2021 17H,1184
02/27/2021 16H,1130
02/27/2021 15H,1066
02/27/2021 14H,1008
02/27/2021 13H,974
02/27/2021 12H,960
02/27/2021 11H,960
02/27/2021 10H,965
02/27/2021 09H,998
02/27/2021 08H,1069
02/27/2021 07H,1130
02/27/2021 06H,1195
02/27/2021 05H,1260
02/27/2021 04H,1313
02/27/2021 03H,1352
02/27/2021 02H,1321
02/27/2021 01H,1259
02/27/2021 00H,1246
02/26/2021 23H,1235
02/26/2021 22H,1262
02/26/2021 21H,1295
02/26/2021 20H,1315
02/26/2021 19H,1337
02/26/2021 18H,1356
02/26/2021 17H,1368
02/26/2021 16H,1340
02/26/2021 15H,1246
02/26/2021 14H,1105
02/26/2021 13H,1002
02/26/2021 12H,956
02/26/2021 11H,947
02/26/2021 10H,951
02/26/2021 09H,988
02/26/2021 08H,1069
02/26/2021 07H,1153
02/26/2021 06H,1247
02/26/2021 05H,1322
02/26/2021 04H,1376
02/26/2021 03H,1404
02/26/2021 02H,1359
02/26/2021 01H,1295
02/26/2021 00H,1279
02/25/2021 23H,1273
02/25/2021 22H,1285
02/25/2021 21H,1323
02/25/2021 20H,1343
02/25/2021 19H,1360
02/25/2021 18H,1387
02/25/2021 17H,1403
02/25/2021 16H,1379
02/25/2021 15H,1274
02/25/2021 14H,1127
02/25/2021 13H,1012
02/25/2021 12H,956
02/25/2021 11H,943
02/25/2021 10H,946
02/25/2021 09H,976
02/25/2021 08H,1037
02/25/2021 07H,1111
02/25/2021 06H,1203
02/25/2021 05H,1280
02/25/2021 04H,1329
02/25/2021 03H,1351
02/25/2021 02H,1300
02/25/2021 01H,1226
02/25/2021 00H,1191
02/24/2021 23H,1202
02/24/2021 22H,1233
02/24/2021 21H,1270
02/24/2021 20H,1296
02/24/2021 19H,1323
02/24/2021 18H,1359
02/24/2021 17H,1392
02/24/2021 16H,1379
02/24/2021 15H,1284
02/24/2021 14H,1140
02/24/2021 13H,1034
02/24/2021 12H,988
02/24/2021 11H,974
02/24/2021 10H,975
02/24/2021 09H,1001
02/24/2021 08H,1030
02/24/2021 07H,1107
02/24/2021 06H,1196
02/24/2021 05H,1275
02/24/2021 04H,1323
02/24/2021 03H,1349
02/24/2021 02H,1294
02/24/2021 01H,1225
02/24/2021 00H,1197
02/23/2021 23H,1193
02/23/2021 22H,1216
02/23/2021 21H,1247
02/23/2021 20H,1262
02/23/2021 19H,1276
02/23/2021 18H,1301
02/23/2021 17H,1321
02/23/2021 16H,1308
02/23/2021 15H,1217
02/23/2021 14H,1079
02/23/2021 13H,983
02/23/2021 12H,944
02/23/2021 11H,936
02/23/2021 10H,940
02/23/2021 09H,953
02/23/2021 08H,1021
02/23/2021 07H,1112
02/23/2021 06H,1206
02/23/2021 05H,1281
02/23/2021 04H,1338
02/23/2021 03H,1367
02/23/2021 02H,1307
02/23/2021 01H,1228
02/23/2021 00H,1209
02/22/2021 23H,1216
02/22/2021 22H,1250
02/22/2021 21H,1276
02/22/2021 20H,1281
02/22/2021 19H,1281
02/22/2021 18H,1289
02/22/2021 17H,1300
02/22/2021 16H,1274
02/22/2021 15H,1178
02/22/2021 14H,1040
02/22/2021 13H,949
02/22/2021 12H,908
02/22/2021 11H,899
02/22/2021 10H,902
02/22/2021 09H,929
02/22/2021 08H,991
02/22/2021 07H,1070
02/22/2021 06H,1152
02/22/2021 05H,1213
02/22/2021 04H,1257
02/22/2021 03H,1278
02/22/2021 02H,1223
02/22/2021 01H,1156
02/22/2021 00H,1130
02/21/2021 23H,1118
02/21/2021 22H,1154
02/21/2021 21H,1178
02/21/2021 20H,1183
02/21/2021 19H,1179
02/21/2021 18H,1158
02/21/2021 17H,1105
02/21/2021 16H,1031
02/21/2021 15H,989
02/21/2021 14H,963
02/21/2021 13H,946
02/21/2021 12H,942
02/21/2021 11H,949
02/21/2021 10H,958
02/21/2021 09H,993
02/21/2021 08H,1043
02/21/2021 07H,1103
02/21/2021 06H,1162
02/21/2021 05H,1219
02/21/2021 04H,1267
02/21/2021 03H,1297
02/21/2021 02H,1248
02/21/2021 01H,1189
02/21/2021 00H,1155
02/20/2021 23H,1147
02/20/2021 22H,1191
02/20/2021 21H,1229
02/20/2021 20H,1248
02/20/2021 19H,1254
02/20/2021 18H,1242
02/20/2021 17H,1198
02/20/2021 16H,1115
02/20/2021 15H,1047
02/20/2021 14H,999
02/20/2021 13H,969
02/20/2021 12H,958
02/20/2021 11H,963
02/20/2021 10H,970
02/20/2021 09H,1008
02/20/2021 08H,1088
02/20/2021 07H,1157
02/20/2021 06H,1228
02/20/2021 05H,1289
02/20/2021 04H,1345
02/20/2021 03H,1402
02/20/2021 02H,1392
02/20/2021 01H,1335
02/20/2021 00H,1306
02/19/2021 23H,1299
02/19/2021 22H,1325
02/19/2021 21H,1355
02/19/2021 20H,1367
02/19/2021 19H,1380
02/19/2021 18H,1393
02/19/2021 17H,1399
02/19/2021 16H,1364
02/19/2021 15H,1255
02/19/2021 14H,1111
02/19/2021 13H,1013
02/19/2021 12H,970
02/19/2021 11H,966
02/19/2021 10H,973
02/19/2021 09H,1010
02/19/2021 08H,1064
02/19/2021 07H,1139
02/19/2021 06H,1236
